time,BSSID,Quality,RSSI,ESSID
20-09-09-14-57-21,10:BD:18:C7:29:EF,34/70,-76,Unifi
20-09-09-14-57-21,5C:50:15:E7:EA:3F,26/70,-84,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
20-09-09-14-57-21,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-57-21,10:BD:18:C7:27:5F,30/70,-80,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:5F:90,38/70,-72,Unifi
20-09-09-14-57-32,10:BD:18:F0:CA:BF,35/70,-75,Unifi
20-09-09-14-57-32,A0:CF:5B:3E:17:50,31/70,-79,Unifi
20-09-09-14-57-32,10:BD:18:C7:29:EF,33/70,-77,Unifi
20-09-09-14-57-32,5C:50:15:E7:EA:3F,26/70,-84,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
20-09-09-14-57-32,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-57-32,10:BD:18:C7:27:5F,34/70,-76,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-57-32,10:BD:18:C7:27:50,39/70,-71,Unifi
20-09-09-14-57-54,A0:CF:5B:3D:5F:90,37/70,-73,Unifi
20-09-09-14-57-54,10:BD:18:F0:CA:BF,22/70,-88,Unifi
20-09-09-14-57-54,A0:CF:5B:3E:17:50,31/70,-79,Unifi
20-09-09-14-57-54,10:BD:18:C7:29:EF,32/70,-78,Unifi
20-09-09-14-57-54,38:ED:18:D0:EF:60,33/70,-77,Unifi
20-09-09-14-57-54,10:BD:18:C7:27:5F,30/70,-80,Unifi
20-09-09-14-57-54,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-57-54,10:BD:18:C7:27:50,27/70,-83,Unifi
20-09-09-14-57-54,A0:CF:5B:3F:69:30,38/70,-72,Unifi
20-09-09-14-57-54,10:BD:18:F0:CA:B0,34/70,-76,Unifi
